City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Aasiaat,GL,2021-11-12 22:31:47,68.7098,-52.8699,7.83,96,100,7.81
268,Kavieng,PG,2021-11-12 22:31:47,-2.5744,150.7967,83.79,71,98,5.61
269,Kodiak,US,2021-11-12 22:31:47,57.79,-152.4072,26.11,68,90,10.36
270,Itarema,BR,2021-11-12 22:31:48,-2.9248,-39.9167,80.71,74,13,10.98
271,San Cristobal,VE,2021-11-12 22:31:48,7.7669,-72.225,77.18,77,29,0.76
272,Adra,ES,2021-11-12 22:31:49,36.7496,-3.0206,61.81,63,5,2.19
273,Alofi,NU,2021-11-12 22:31:49,-19.0595,-169.9187,80.49,78,100,8.05
274,Silifke,TR,2021-11-12 22:31:50,36.3778,33.9344,61.93,31,17,9.64
275,Suntar,RU,2021-11-12 22:31:50,62.1444,117.6319,-6.54,96,71,4.23
276,Sobolevo,RU,2021-11-12 22:31:51,54.4299,31.8996,35.6,94,34,10.94
277,Fujin,CN,2021-11-12 22:31:51,47.26,132.0322,24.06,88,29,7.34
278,Soe,ID,2021-11-12 22:31:51,-9.8607,124.284,73.13,83,99,0.6
279,Adrar,MR,2021-11-12 22:31:52,20.5022,-10.0711,73.9,45,78,5.32
280,Pontes E Lacerda,BR,2021-11-12 22:31:52,-15.2261,-59.3353,73.58,98,100,4.14
281,Sakakah,SA,2021-11-12 22:31:53,29.9697,40.2064,58.57,30,53,8.61
282,Kanye,BW,2021-11-12 22:31:53,-24.9667,25.3327,69.51,17,20,1.86
283,Sistranda,NO,2021-11-12 22:31:54,63.7256,8.834,35.91,73,94,23.98
284,Grand-Santi,GF,2021-11-12 22:31:54,4.25,-54.3833,77.5,81,85,3.38
285,Bemidji,US,2021-11-12 22:31:54,47.4736,-94.8803,32.05,95,90,12.66
286,Salalah,OM,2021-11-12 22:31:55,17.0151,54.0924,75.29,69,0,3.44
287,Puerto Madryn,AR,2021-11-12 22:30:55,-42.7692,-65.0385,73.76,43,100,5.75
288,Vao,NC,2021-11-12 22:31:55,-22.6667,167.4833,75.06,82,9,11.05
289,Buraydah,SA,2021-11-12 22:31:56,26.326,43.975,63.05,38,46,10.38
290,Kabanjahe,ID,2021-11-12 22:31:56,3.1001,98.4908,63.36,90,100,3.27
291,Ahipara,NZ,2021-11-12 22:31:57,-35.1667,173.1667,67.05,97,100,14.47
292,Teknaf,BD,2021-11-12 22:31:57,20.8624,92.3058,75.78,77,92,2.82
293,Alegrete,BR,2021-11-12 22:30:52,-29.7831,-55.7919,71.74,62,26,14.36
